Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRC,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC_per_PA,wRC_plus
81,1782180961,B. OBrien,Brady OBrien,OBrien,Brady,3B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,0.49,61.25666666666666,31.2,50,903,230,202,0.366,0.422,0.777,1.199,0.411,19.1%,9.6%,2.0,8.7%,1.06,10.10,0.378,60.1%,0.49,100.0%,0.2663333333333333,24.58367977916749
82,1229486592,C. Vasquez,Carlos Vasquez,Vasquez,Carlos,3B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,0.418,56.12266666666666,21.4,57,958,272,235,0.366,0.435,0.532,0.967,0.166,9.9%,8.8%,1.13,1.8%,0.95,47.00,0.393,58.3%,0.418,80.0%,0.2063333333333333,18.88610944668667
83,1297499392,K. Grady,Keaton Grady,Grady,Keaton,2B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,S,R,0.424,43.534666666666666,17.2,47,686,206,175,0.366,0.449,0.531,0.98,0.166,10.2%,12.6%,0.81,1.9%,1.06,43.75,0.395,59.2%,0.424,94.7%,0.21133333333333335,19.36797695096994
84,1251438849,M. Lytle,Mason Lytle,Lytle,Mason,CF,UTSA,UTSA,730373120,UTSA,BBC,R,R,0.417,63.49949999999999,23.9,62,973,309,268,0.366,0.424,0.56,0.984,0.194,7.4%,7.8%,0.96,3.2%,1.21,26.80,0.365,61.5%,0.417,77.3%,0.20549999999999996,18.75309021957835
85,1292499200,L. Carmichael,Lucas Carmichael,Carmichael,Lucas,LF,College of William & Mary,WM,730232064,William & Mary,BBC,L,L,0.423,54.72999999999999,21.5,56,843,260,238,0.366,0.415,0.571,0.987,0.206,13.1%,5.8%,2.27,4.6%,0.91,19.83,0.389,59.1%,0.423,88.9%,0.21049999999999996,19.287693157093912
85,1162550784,M. Strong,Mason Strong,Strong,Mason,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,0.441,61.561499999999995,26.3,58,911,273,238,0.366,0.432,0.609,1.041,0.244,9.9%,8.4%,1.17,4.0%,0.95,21.64,0.373,60.8%,0.441,92.3%,0.22549999999999998,20.652162021562777
87,1310689792,C. McHugh,Chris McHugh,McHugh,Chris,1B,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,0.434,51.84133333333333,21.5,53,851,236,197,0.365,0.462,0.533,0.995,0.168,16.9%,9.7%,1.74,3.0%,0.85,28.14,0.428,52.6%,0.434,50.0%,0.21966666666666665,20.128631879388564
87,1174874880,J. Tiroly,Joe Tiroly,Tiroly,Joe,2B,Rider University,RID,730174976,Rider,BBC,R,R,0.496,63.76333333333333,33.2,51,829,235,197,0.365,0.468,0.726,1.194,0.36,10.6%,14.5%,0.74,7.2%,1.2,11.59,0.355,60.6%,0.496,66.7%,0.2713333333333333,25.146121962331225
89,1130289408,R. Fenn,Ryan Fenn,Fenn,Ryan,2B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,0.375,46.546499999999995,12.0,58,776,273,249,0.365,0.39,0.482,0.872,0.116,8.1%,3.3%,2.44,0.7%,0.93,124.50,0.385,59.7%,0.375,72.7%,0.17049999999999998,15.41406678346754
90,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,0.479,66.09183333333333,32.7,58,1005,257,208,0.365,0.455,0.712,1.167,0.346,16.3%,13.6%,1.2,7.0%,1.09,11.56,0.372,62.8%,0.479,92.5%,0.25716666666666665,23.742197796423458
91,1176069376,R. Villeneuve,Robin Villeneuve,Villeneuve,Robin,1B,Texas Tech University,TTU,2350,Texas Tech,BBC,R,L,0.463,55.10633333333334,25.8,52,885,226,189,0.365,0.447,0.661,1.108,0.296,22.1%,11.5%,1.92,5.3%,0.88,15.75,0.432,54.5%,0.463,100.0%,0.24383333333333335,22.43439159140297
91,1142570752,E. King Jr.,Eddie King Jr.,King Jr.,Eddie,RF,University of Louisville,LOU,5467,Louisville,BBC,R,R,0.483,58.35199999999999,29.2,55,877,224,189,0.365,0.435,0.746,1.181,0.381,17.0%,9.4%,1.81,7.6%,0.85,11.12,0.371,62.1%,0.483,80.0%,0.26049999999999995,24.05417667357743
93,1195406592,B. Heckelman,Brian Heckelman,Heckelman,Brian,C,Towson University,TOWS,730318336,Towson,BBC,R,R,0.438,44.599999999999994,18.9,53,753,200,170,0.365,0.442,0.588,1.03,0.224,11.0%,10.0%,1.1,4.0%,0.6,21.25,0.378,60.1%,0.438,42.9%,0.22299999999999998,20.46846238786314
94,1310312448,A. Cohall,Aidan Cohall,Cohall,Aidan,LF,Stonehill College,SC,730238464,Stonehill,BBC,L,R,0.471,51.85349999999999,25.0,46,697,207,181,0.365,0.43,0.702,1.132,0.337,13.0%,7.7%,1.69,6.8%,0.98,12.93,0.364,61.5%,0.471,100.0%,0.25049999999999994,23.09575707385348
95,1287473664,R. Daniels,Ryan Daniels,Daniels,Ryan,2B,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,0.502,69.636,36.6,53,940,252,203,0.365,0.476,0.744,1.22,0.379,16.3%,15.9%,1.02,7.1%,1.28,11.28,0.381,61.2%,0.502,76.9%,0.2763333333333333,25.542271911672664
96,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,0.491,68.929,35.2,55,984,258,214,0.364,0.469,0.71,1.179,0.346,14.3%,12.8%,1.12,7.4%,1.18,11.26,0.371,60.4%,0.491,84.6%,0.26716666666666666,24.66187324057632
97,1206686464,C. Torres,Cooper Torres,Torres,Cooper,2B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,0.502,74.05733333333333,39.1,58,1007,268,225,0.364,0.463,0.756,1.218,0.391,18.7%,14.2%,1.32,8.6%,1.19,9.78,0.386,58.2%,0.502,100.0%,0.2763333333333333,25.608014626669114
98,1755480502,C. Wulf,Caleb Wulf,Wulf,Caleb,1B,University of Iowa,IOWA,1232,Iowa,BBC,L,R,0.37,26.779666666666664,6.4,49,576,161,140,0.364,0.42,0.414,0.835,0.05,7.5%,6.2%,1.2,0.6%,0.53,140.00,0.388,58.9%,0.37,100.0%,0.1663333333333333,14.99361766736625
99,1675650877,I. Armstrong,Ian Armstrong,Armstrong,Ian,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,0.413,34.77266666666666,12.8,44,598,172,151,0.364,0.402,0.576,0.979,0.212,19.2%,5.2%,3.67,2.9%,0.77,30.20,0.424,56.8%,0.413,83.3%,0.20216666666666663,18.46032285297942
100,1310817024,C. Jackson,Core Jackson,Jackson,Core,SS,University of Utah,UTAH,730328320,Utah,BBC,L,R,0.459,57.239,26.5,48,849,238,206,0.364,0.445,0.641,1.086,0.277,18.1%,8.8%,2.05,5.0%,1.27,17.17,0.414,57.2%,0.459,87.0%,0.2405,22.152916169375747
101,1310440960,J. Jaffe,Jordan Jaffe,Jaffe,Jordan,1B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,0.433,55.146,22.9,52,872,252,217,0.364,0.429,0.599,1.028,0.235,12.3%,9.1%,1.35,4.0%,1.19,21.70,0.379,59.9%,0.433,62.5%,0.21883333333333332,20.10576397516473
102,1141495808,K. Snell,Kade Snell,Snell,Kade,LF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,0.439,58.4205,24.9,58,856,261,212,0.363,0.464,0.575,1.039,0.212,6.9%,14.6%,0.47,3.8%,0.84,21.20,0.354,63.0%,0.439,0.0%,0.22383333333333333,20.558692272920613
103,1101481984,T. Kemp,Tyriq Kemp,Kemp,Tyriq,SS,Baylor University,BAY,3033,Baylor,BBC,L,R,0.427,51.74766666666666,20.7,55,894,242,201,0.363,0.45,0.547,0.997,0.184,11.2%,13.2%,0.84,2.9%,0.87,28.71,0.386,59.1%,0.427,69.2%,0.21383333333333332,19.572181396127608
103,1238233344,J. Kemp,James Kemp,Kemp,James,1B,Iona College,IONA,730242048,Iona,BBC,R,R,0.467,61.5445,29.2,52,904,249,201,0.363,0.478,0.622,1.1,0.259,16.1%,13.3%,1.21,4.8%,0.79,16.75,0.404,56.3%,0.467,66.7%,0.24716666666666667,22.74537001838523
105,1301047808,E. Ott,Ethan Ott,Ott,Ethan,1B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,0.495,61.67399999999999,31.9,48,794,228,190,0.363,0.456,0.742,1.198,0.379,21.9%,11.8%,1.85,7.0%,1.02,11.88,0.417,56.7%,0.495,-,0.27049999999999996,25.00969045803858
106,1251446272,K. Hayes,Kyle Hayes,Hayes,Kyle,1B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,0.474,53.889,26.2,51,825,213,168,0.363,0.472,0.673,1.144,0.31,13.6%,14.1%,0.97,4.7%,0.78,16.80,0.381,61.2%,0.474,100.0%,0.253,23.318931871431214
106,1198474496,M. Hartman,Max Hartman,Hartman,Max,LF,Washington State University,WSU,4505,Washington State,BBC,L,R,0.415,39.54366666666666,14.8,41,672,194,168,0.363,0.438,0.518,0.955,0.155,14.4%,8.2%,1.75,2.6%,0.98,33.60,0.412,58.8%,0.415,87.5%,0.2038333333333333,18.647328367244587
108,1174781440,C. Koniarsky,Cole Koniarsky,Koniarsky,Cole,RF,UNLV,UNLV,730161664,UNLV,BBC,R,R,0.426,50.693999999999996,20.2,53,883,238,204,0.363,0.441,0.549,0.99,0.186,9.2%,11.8%,0.79,2.9%,0.68,29.14,0.376,59.6%,0.426,75.0%,0.213,19.505857345846334
109,1336579840,H. Ford,Henry Ford,Ford,Henry,RF,University of Virginia,UVA,5415,Virginia,BBC,R,R,0.425,49.01049999999999,19.3,50,782,231,207,0.362,0.42,0.575,0.995,0.213,13.0%,9.1%,1.43,4.8%,0.84,18.82,0.381,59.5%,0.425,100.0%,0.21216666666666664,19.373440742841495
110,1284929792,M. Latta,Maddox Latta,Latta,Maddox,SS,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,0.437,55.3195,23.3,53,966,249,199,0.362,0.486,0.503,0.988,0.141,12.4%,14.9%,0.84,1.2%,0.98,66.33,0.418,57.0%,0.437,87.5%,0.22216666666666665,20.375892106738647
111,1306887936,J. Tate,Josh Tate,Tate,Josh,CF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,0.441,64.2675,27.7,59,1014,285,246,0.362,0.437,0.606,1.042,0.244,13.0%,9.5%,1.37,4.2%,1.02,20.50,0.385,59.0%,0.441,63.6%,0.2255,20.737760633477176
112,1342169428,A. Lemon,Austin Lemon,Lemon,Austin,LF,Villanova University,VILL,730278400,Villanova,BBC,S,R,0.398,33.571000000000005,11.0,39,666,177,141,0.362,0.474,0.397,0.871,0.035,10.7%,13.0%,0.83,0.0%,0.79,-,0.411,57.3%,0.398,40.0%,0.1896666666666667,17.23315165339987
113,1948744121,L. Johnson,Landen Johnson,Johnson,Landen,1B,High Point University,HP,730321152,High Point,BBC,L,L,0.459,65.416,30.3,57,1040,272,224,0.362,0.449,0.656,1.105,0.295,15.8%,13.2%,1.19,5.9%,1.05,14.00,0.378,59.9%,0.459,66.7%,0.2405,22.158168270216084
114,1117733120,E. Genther,Eric Genther,Genther,Eric,RF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,0.455,71.15,32.3,60,1089,300,238,0.361,0.478,0.584,1.062,0.223,9.0%,13.0%,0.69,3.3%,1.33,23.80,0.371,62.0%,0.455,75.0%,0.2371666666666667,21.785129054529804
115,1057497695,T. Clay,Todd Clay,Clay,Todd,3B,UAB,UAB,730345984,UAB,BBC,R,R,0.437,53.09783333333333,22.4,53,1019,239,191,0.361,0.473,0.539,1.012,0.178,12.6%,16.3%,0.77,2.9%,0.64,27.29,0.392,59.5%,0.437,85.7%,0.22216666666666665,20.390847325101635
116,1100075008,A. Fernandes,Alex Fernandes,Fernandes,Alex,RF,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,0.416,52.59933333333333,19.6,59,1049,257,216,0.361,0.447,0.509,0.956,0.148,12.1%,12.5%,0.97,1.2%,0.92,72.00,0.405,56.2%,0.416,100.0%,0.20466666666666664,18.644921531832015
117,1080800768,Z. Rogacki,Zach Rogacki,Rogacki,Zach,C,Binghamton University,BING,730155776,Binghamton,BBC,L,R,0.44,55.942,23.9,55,877,249,205,0.361,0.437,0.6,1.037,0.239,8.8%,11.2%,0.79,3.2%,0.87,25.63,0.371,61.2%,0.44,83.3%,0.22466666666666668,20.61685596216033
118,1093153024,J. Bello,Jack Bello,Bello,Jack,TWP,Butler University,BUT,730283520,Butler,BBC,R,L,0.412,42.88399999999999,15.7,50,714,213,194,0.361,0.399,0.577,0.976,0.216,21.6%,3.3%,6.57,3.3%,0.58,27.71,0.434,53.8%,0.412,100.0%,0.2013333333333333,18.38935440664249
119,1261188096,A. Eppinger,Andrew Eppinger,Eppinger,Andrew,LF,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,0.395,30.321,9.7,41,549,162,147,0.361,0.406,0.503,0.91,0.143,18.5%,4.9%,3.75,1.2%,0.49,73.50,0.44,52.6%,0.395,100.0%,0.18716666666666668,17.0061167088508
120,1195420928,E. Dowell,Easton Dowell,Dowell,Easton,SS,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,0.422,41.304333333333325,16.0,48,646,197,172,0.36,0.412,0.581,0.994,0.221,9.6%,7.1%,1.36,3.6%,0.67,24.57,0.367,61.3%,0.422,69.2%,0.2096666666666666,19.14028979903065
120,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,0.501,59.232499999999995,31.1,50,844,215,172,0.36,0.476,0.727,1.203,0.366,14.9%,14.9%,1.0,8.4%,1.06,9.56,0.358,58.5%,0.501,88.9%,0.27549999999999997,25.48357866693291
122,1291342848,P. Daniel,Pete Daniel,Daniel,Pete,SS,Belmont University,BEL,730190336,Belmont,BBC,R,R,0.408,46.33199999999999,16.6,51,813,234,211,0.36,0.423,0.521,0.944,0.161,15.0%,7.3%,2.06,2.1%,0.75,42.20,0.415,56.7%,0.408,87.5%,0.19799999999999995,18.11247948188024
122,1167173120,M. Whitcomb,Mack Whitcomb,Whitcomb,Mack,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,0.478,68.18466666666666,33.7,56,948,266,211,0.36,0.485,0.649,1.134,0.289,16.9%,13.5%,1.25,5.6%,0.96,14.07,0.399,57.5%,0.478,100.0%,0.2563333333333333,23.687635320193966
124,1081479936,N. Dumesnil,Nicholas Dumesnil,Dumesnil,Nicholas,CF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,0.441,62.68899999999999,27.0,57,1064,278,239,0.36,0.442,0.598,1.041,0.238,19.8%,10.4%,1.9,3.6%,0.93,23.90,0.432,54.5%,0.441,87.1%,0.22549999999999998,20.730692603690482
125,1838954047,J. Laskofski,Jamie Laskofski,Laskofski,Jamie,3B,College of William & Mary,WM,730232064,William & Mary,BBC,L,R,0.386,44.198,12.9,54,880,246,214,0.36,0.423,0.467,0.89,0.107,8.9%,10.2%,0.88,0.8%,0.98,107.00,0.385,59.5%,0.386,75.0%,0.17966666666666667,16.26236482688753
126,1198036992,Z. Daudet,Zach Daudet,Daudet,Zach,1B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,0.454,55.77466666666667,25.3,53,875,236,189,0.36,0.465,0.593,1.058,0.233,13.1%,11.9%,1.11,3.8%,1.0,21.00,0.393,60.7%,0.454,66.7%,0.23633333333333334,21.73880137091399
127,1750819940,M. Bell,Mikey Bell,Bell,Mikey,RF,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,0.447,54.1675,23.8,53,864,235,203,0.36,0.44,0.616,1.056,0.256,20.4%,10.2%,2.0,4.7%,0.72,18.45,0.428,55.2%,0.447,83.3%,0.23049999999999998,21.146121962331225
128,1099833856,S. White,Sam White,White,Sam,2B,West Virginia University,WVU,5327,West Virginia,BBC,L,R,0.407,43.96816666666666,15.5,51,739,223,192,0.359,0.426,0.526,0.952,0.167,10.3%,9.9%,1.05,2.2%,0.92,38.40,0.379,59.8%,0.407,60.0%,0.19716666666666666,17.969135033603056
129,1263100160,R. Liddington,Robbie Liddington,Liddington,Robbie,1B,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,0.471,60.370499999999986,29.2,50,824,241,206,0.359,0.448,0.675,1.123,0.316,15.4%,10.0%,1.54,6.2%,1.06,13.73,0.381,60.6%,0.471,92.9%,0.25049999999999994,23.134644960477253
130,1297546752,D. Ross,Deamez Ross,Ross,Deamez,CF,University of Central Florida,UCF,730256640,Central Florida,BBC,L,L,0.394,50.869,16.2,55,996,273,234,0.359,0.429,0.466,0.894,0.107,8.1%,7.7%,1.05,0.7%,0.96,117.00,0.387,59.4%,0.394,78.9%,0.18633333333333332,16.952528321929076
131,1297344769,P. Kling,Paxton Kling,Kling,Paxton,CF,Penn State University,PSU,5326,Penn State,BBC,R,R,0.463,65.59116666666667,30.8,56,1092,269,212,0.358,0.47,0.632,1.102,0.274,16.7%,13.8%,1.22,4.8%,1.13,16.31,0.394,56.3%,0.463,88.2%,0.24383333333333332,22.468276514257195
132,1313787904,C. Shpur,Caleb Shpur,Shpur,Caleb,CF,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,0.411,55.73899999999999,20.3,58,1037,278,240,0.358,0.426,0.521,0.947,0.163,11.9%,8.3%,1.43,2.9%,1.21,30.00,0.388,59.7%,0.411,89.6%,0.20049999999999996,18.32062066124444
133,1083259648,B. Ankeney,Beau Ankeney,Ankeney,Beau,1B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,0.483,71.37699999999998,35.6,57,1047,274,229,0.358,0.453,0.712,1.164,0.354,19.3%,10.9%,1.77,8.0%,1.25,10.41,0.382,58.6%,0.483,83.3%,0.26049999999999995,24.01116311779015
133,1342169316,H. Zenor,Henry Zenor,Zenor,Henry,LF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,0.429,60.55549999999999,24.4,58,1070,281,229,0.358,0.45,0.55,1.0,0.192,6.8%,13.5%,0.5,2.5%,1.14,32.71,0.359,62.7%,0.429,62.5%,0.21549999999999997,19.701736409215453
135,1656989942,R. Lujo,Rylan Lujo,Lujo,Rylan,3B,University of Dayton,DAY,730194688,Dayton,BBC,R,R,0.412,55.76933333333333,20.3,58,896,277,243,0.358,0.415,0.551,0.967,0.193,9.0%,7.6%,1.19,3.2%,0.9,27.00,0.363,62.3%,0.412,85.0%,0.2013333333333333,18.34698224345881
136,1341082951,T. Bates,Taj Bates,Bates,Taj,3B,Southern University,SOU,4767,Southern,BBC,R,R,0.453,49.2195,22.2,44,802,209,176,0.358,0.445,0.625,1.07,0.267,13.4%,9.6%,1.4,5.3%,0.8,16.00,0.371,60.0%,0.453,100.0%,0.2355,21.640471957241132
137,1196066304,S. McCloud,Slade McCloud,McCloud,Slade,2B,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,R,0.41,49.91666666666666,17.9,56,880,250,218,0.358,0.415,0.541,0.957,0.183,14.4%,8.4%,1.71,3.2%,0.8,27.25,0.391,59.8%,0.41,76.0%,0.19966666666666663,18.178462387863142
137,1096221440,J. McCutcheon,Jake McCutcheon,McCutcheon,Jake,LF,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,0.456,61.879999999999995,28.3,55,948,260,218,0.358,0.444,0.647,1.091,0.289,15.4%,13.1%,1.18,5.8%,1.02,14.53,0.377,60.5%,0.456,76.9%,0.238,21.90307777247853
139,1304426498,E. Paulsen,Erik Paulsen,Paulsen,Erik,TWP,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,0.444,52.44,22.8,49,795,230,193,0.358,0.452,0.585,1.038,0.228,5.2%,10.9%,0.48,3.9%,0.94,21.44,0.345,64.9%,0.444,80.0%,0.22799999999999998,20.931505866124013
139,1243623168,A. Ungar,Alex Ungar,Ungar,Alex,RF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,0.474,57.937,28.3,48,794,229,193,0.358,0.443,0.705,1.148,0.347,10.0%,11.8%,0.85,5.7%,1.29,14.85,0.35,58.8%,0.474,91.2%,0.253,23.376540990483228
141,1304694272,J. Raifstanger,Jayder Raifstanger,Raifstanger,Jayder,3B,St. John's University (NY),SJU,4285,St. John's,BBC,L,R,0.429,55.814499999999995,22.6,52,1011,259,207,0.357,0.479,0.493,0.972,0.135,13.9%,14.3%,0.97,1.5%,0.9,51.75,0.414,58.0%,0.429,100.0%,0.21549999999999997,19.74433111373187
142,1162522624,J. Lauinger,John Lauinger,Lauinger,John,LF,Oakland University,OAK,5386,Oakland,BBC,R,R,0.418,56.74166666666666,21.6,59,1043,275,221,0.357,0.48,0.448,0.928,0.09,10.9%,10.2%,1.07,0.7%,0.88,110.50,0.405,56.3%,0.418,84.8%,0.2063333333333333,18.873007842408597
143,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,0.522,86.14200000000001,47.4,59,1100,294,224,0.357,0.505,0.768,1.273,0.411,21.1%,16.3%,1.29,7.5%,1.58,10.18,0.411,55.3%,0.522,80.0%,0.29300000000000004,27.14091136745498
143,1289243136,G. Kilen,Gavin Kilen,Kilen,Gavin,2B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,0.466,60.351666666666674,28.7,53,915,245,210,0.357,0.441,0.671,1.112,0.314,11.0%,12.2%,0.9,6.1%,1.13,14.00,0.353,63.5%,0.466,85.7%,0.24633333333333335,22.732748102148857
145,1123965440,J. Lovich,Jackson Lovich,Lovich,Jackson,SS,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,0.442,48.888,21.1,51,785,216,185,0.357,0.43,0.622,1.052,0.265,24.1%,9.3%,2.6,5.6%,0.76,15.42,0.435,55.6%,0.442,100.0%,0.22633333333333333,20.786980906381665
146,1779361511,K. Collins,Kain Collins,Collins,Kain,LF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,L,0.396,43.428,14.1,49,932,231,188,0.356,0.467,0.404,0.871,0.048,17.3%,15.2%,1.14,0.0%,1.2,-,0.453,52.0%,0.396,75.0%,0.188,17.12235849175925
147,1648612133,N. Noonan,Nevan Noonan,Noonan,Nevan,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,0.419,55.106333333333325,21.0,59,969,266,233,0.356,0.421,0.558,0.979,0.202,13.5%,7.1%,1.89,3.4%,0.78,25.89,0.385,58.9%,0.419,71.4%,0.20716666666666664,18.913199229968402
148,1187097344,C. Sintek,Carter Sintek,Sintek,Carter,SS,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,0.382,42.496333333333325,11.9,51,765,241,219,0.356,0.407,0.466,0.872,0.11,10.0%,7.1%,1.41,1.2%,0.92,73.00,0.387,58.2%,0.382,0.0%,0.1763333333333333,15.956221723962727
148,1299946496,M. Jackson,Miles Jackson,Jackson,Miles,LF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,0.405,34.017,11.8,41,459,174,146,0.356,0.445,0.473,0.918,0.116,7.5%,10.3%,0.72,1.1%,0.71,73.00,0.376,57.9%,0.405,50.0%,0.1955,17.800071583265442
150,1167307520,T. Mally,Tanner Mally,Mally,Tanner,CF,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,0.395,44.92,14.4,50,880,240,205,0.356,0.444,0.439,0.883,0.083,13.8%,5.4%,2.54,0.0%,1.0,-,0.422,53.8%,0.395,80.0%,0.18716666666666668,17.018462387863142
151,1998981725,K. Smith,Kaden Smith,Smith,Kaden,LF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,0.466,59.36633333333334,28.1,50,886,241,191,0.356,0.456,0.67,1.127,0.314,14.9%,12.0%,1.24,5.8%,1.08,13.64,0.362,62.4%,0.466,80.0%,0.24633333333333335,22.678213425207538
152,1096344505,C. Bland,Cermodrick Bland,Bland,Cermodrick,RF,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,0.404,28.81066666666667,9.9,36,488,148,118,0.356,0.455,0.458,0.913,0.102,20.3%,14.2%,1.43,1.4%,0.94,59.00,0.449,52.8%,0.404,85.7%,0.19466666666666668,17.70765157705233
153,1299973888,J. Casey,Jake Casey,Casey,Jake,RF,Kent State University,KENT,730315008,Kent State,BBC,L,R,0.512,76.57533333333333,41.3,56,1016,269,208,0.356,0.5,0.736,1.236,0.38,20.8%,13.8%,1.51,6.3%,1.32,12.24,0.422,55.6%,0.512,74.1%,0.2846666666666667,26.37162223916426
154,1882429176,J. Beebe,Jared Beebe,Beebe,Jared,1B,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,0.418,54.26566666666666,20.7,53,888,263,225,0.356,0.425,0.556,0.981,0.2,11.4%,7.2%,1.58,1.9%,0.89,45.00,0.385,59.5%,0.418,-,0.2063333333333333,18.88918482132322
154,1339859835,L. Akers,Landon Akers,Akers,Landon,SS,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,0.395,45.481500000000004,14.6,53,851,243,225,0.356,0.399,0.511,0.91,0.156,10.3%,4.1%,2.5,2.5%,0.91,37.50,0.379,60.5%,0.395,84.2%,0.18716666666666668,17.02669284053804
156,1113915136,C. Higgs,Conor Higgs,Higgs,Conor,LF,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,0.481,64.19066666666666,31.9,58,924,248,197,0.355,0.472,0.68,1.152,0.325,20.2%,11.3%,1.79,6.5%,0.95,12.31,0.403,56.0%,0.481,50.0%,0.2588333333333333,23.88136561366959
157,1176406528,M. Petersen,Mika Petersen,Petersen,Mika,CF,Brown University,BRWN,730236160,Brown,BBC,L,L,0.379,29.551666666666662,8.0,39,615,170,152,0.355,0.401,0.467,0.868,0.112,12.9%,7.1%,1.83,1.2%,0.54,76.00,0.4,59.2%,0.379,75.0%,0.1738333333333333,15.72434474080432
157,1178187776,K. Duncan,Kylan Duncan,Duncan,Kylan,2B,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,0.375,29.325999999999997,7.6,39,458,172,152,0.355,0.424,0.421,0.845,0.066,12.8%,9.3%,1.38,0.6%,0.87,152.00,0.408,56.9%,0.375,100.0%,0.17049999999999998,15.437067039025937
159,1245915136,T. Minick,Tyler Minick,Minick,Tyler,3B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,0.483,65.64599999999999,32.8,54,908,252,214,0.355,0.437,0.734,1.17,0.379,16.7%,11.9%,1.4,8.7%,1.19,9.73,0.351,63.0%,0.483,88.2%,0.26049999999999995,24.034335403736158
160,1278204928,D. Pacella,Daniel Pacella,Pacella,Daniel,LF,Illinois State University,ILST,730258944,Illinois State,BBC,L,L,0.474,67.804,32.9,56,918,268,231,0.355,0.429,0.714,1.143,0.359,18.7%,11.2%,1.67,7.5%,1.04,11.55,0.376,61.8%,0.474,100.0%,0.253,23.294581790848216
161,1162555136,R. Brome,Ryan Brome,Brome,Ryan,1B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,0.482,51.414,25.6,42,762,198,155,0.355,0.475,0.684,1.159,0.329,15.7%,14.6%,1.07,6.1%,0.98,12.92,0.371,62.1%,0.482,100.0%,0.25966666666666666,23.947755317156073
